,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
3,15/08/09,Chelsea,Hull,2,1,H,1,1,D,1250308800.0,Carlo Ancelotti
10,18/08/09,Sunderland,Chelsea,1,3,A,1,0,H,1250568000.0,Carlo Ancelotti
23,23/08/09,Fulham,Chelsea,0,2,A,0,1,A,1251000000.0,Carlo Ancelotti
28,29/08/09,Chelsea,Burnley,3,0,H,1,0,H,1251518400.0,Carlo Ancelotti
40,12/09/09,Stoke,Chelsea,1,2,A,1,1,D,1252728000.0,Carlo Ancelotti
52,20/09/09,Chelsea,Tottenham,3,0,H,1,0,H,1253419200.0,Carlo Ancelotti
63,26/09/09,Wigan,Chelsea,3,1,H,1,0,H,1253937600.0,Carlo Ancelotti
72,04/10/09,Chelsea,Liverpool,2,0,H,0,0,D,1254628800.0,Carlo Ancelotti
77,17/10/09,Aston Villa,Chelsea,2,1,H,1,1,D,1255752000.0,Carlo Ancelotti
88,24/10/09,Chelsea,Blackburn,5,0,H,1,0,H,1256356800.0,Carlo Ancelotti
97,31/10/09,Bolton,Chelsea,0,4,A,0,1,A,1256961600.0,Carlo Ancelotti
112,08/11/09,Chelsea,Man United,1,0,H,0,0,D,1257656400.0,Carlo Ancelotti
119,21/11/09,Chelsea,Wolves,4,0,H,3,0,H,1258779600.0,Carlo Ancelotti
136,29/11/09,Arsenal,Chelsea,0,3,A,0,2,A,1259470800.0,Carlo Ancelotti
142,05/12/09,Man City,Chelsea,2,1,H,1,1,D,1259989200.0,Carlo Ancelotti
152,12/12/09,Chelsea,Everton,3,3,D,2,2,D,1260594000.0,Carlo Ancelotti
164,16/12/09,Chelsea,Portsmouth,2,1,H,1,0,H,1260939600.0,Carlo Ancelotti
174,20/12/09,West Ham,Chelsea,1,1,D,1,0,H,1261285200.0,Carlo Ancelotti
176,26/12/09,Birmingham,Chelsea,0,0,D,0,0,D,1261803600.0,Carlo Ancelotti
187,28/12/09,Chelsea,Fulham,2,1,H,0,1,A,1261976400.0,Carlo Ancelotti
200,16/01/10,Chelsea,Sunderland,7,2,H,4,0,H,1263618000.0,Carlo Ancelotti
218,27/01/10,Chelsea,Birmingham,3,0,H,2,0,H,1264568400.0,Carlo Ancelotti
221,30/01/10,Burnley,Chelsea,1,2,A,0,1,A,1264827600.0,Carlo Ancelotti
230,02/02/10,Hull,Chelsea,1,1,D,1,1,D,1265086800.0,Carlo Ancelotti
241,07/02/10,Chelsea,Arsenal,2,0,H,2,0,H,1265518800.0,Carlo Ancelotti
249,10/02/10,Everton,Chelsea,2,1,H,1,1,D,1265778000.0,Carlo Ancelotti
258,20/02/10,Wolves,Chelsea,0,2,A,0,1,A,1266642000.0,Carlo Ancelotti
268,27/02/10,Chelsea,Man City,2,4,A,1,1,D,1267246800.0,Carlo Ancelotti
284,13/03/10,Chelsea,West Ham,4,1,H,1,1,D,1268456400.0,Carlo Ancelotti
299,21/03/10,Blackburn,Chelsea,1,1,D,0,1,A,1269144000.0,Carlo Ancelotti
306,24/03/10,Portsmouth,Chelsea,0,5,A,0,1,A,1269403200.0,Carlo Ancelotti
309,27/03/10,Chelsea,Aston Villa,7,1,H,2,1,H,1269662400.0,Carlo Ancelotti
320,03/04/10,Man United,Chelsea,1,2,A,0,1,A,1270267200.0,Carlo Ancelotti
333,13/04/10,Chelsea,Bolton,1,0,H,1,0,H,1271131200.0,Carlo Ancelotti
343,17/04/10,Tottenham,Chelsea,2,1,H,2,0,H,1271476800.0,Carlo Ancelotti
356,25/04/10,Chelsea,Stoke,7,0,H,3,0,H,1272168000.0,Carlo Ancelotti
364,02/05/10,Liverpool,Chelsea,0,2,A,0,1,A,1272772800.0,Carlo Ancelotti
374,09/05/10,Chelsea,Wigan,8,0,H,2,0,H,1273377600.0,Carlo Ancelotti
