,0-10,0-10,20-Nov,20-Nov,21-30,21-30,31-40,31-40,41-50,41-50,51-60,51-60,61-70,61-70,71-80,71-80,81-90,81-90
,F,A,F,A,F,A,F,A,F,A,F,A,F,A,F,A,F,A
Arsenal,4,4,3,3,3,5,6,3,9,6,4,3,8,3,11,2,15,6
Aston Villa,3,5,0,6,5,3,8,5,7,4,6,6,4,2,3,5,7,5
Blackburn,6,5,3,1,8,6,3,6,9,4,4,2,7,10,5,9,7,11
Bolton,4,6,5,7,6,6,5,6,2,4,9,2,6,6,7,3,3,12
Charlton,1,4,4,5,4,4,1,5,3,5,5,5,3,12,5,7,8,13
Chelsea,5,1,6,3,5,2,8,2,8,4,7,3,10,3,6,3,9,3
Everton,2,0,6,4,4,4,5,2,8,4,6,2,6,7,3,4,12,9
Fulham,2,4,6,7,2,11,3,6,3,7,2,4,6,6,4,7,10,8
Liverpool,5,1,4,2,4,4,5,3,9,5,5,3,12,3,4,4,9,2
Manchester City,0,7,2,4,2,7,6,2,5,4,2,0,4,7,6,7,2,6
Manchester United,8,1,11,3,5,2,6,4,9,4,7,1,14,2,9,3,14,7
Middlesbrough,5,5,2,4,6,6,2,2,7,11,1,4,9,6,8,5,4,6
Newcastle,5,4,4,4,4,3,5,5,3,7,3,11,4,3,5,6,5,4
Portsmouth,6,5,3,0,6,5,3,5,6,3,5,8,4,7,3,2,9,7
Reading,3,5,6,4,4,3,7,5,9,4,5,8,2,7,5,5,11,6
Sheffield United,1,6,1,7,5,5,3,5,6,9,2,5,7,8,4,7,3,3
Tottenham Hotspur,6,5,7,5,5,5,6,6,8,8,5,4,7,6,2,8,11,7
Watford,1,3,3,5,7,6,2,6,2,8,5,3,3,8,2,4,4,16
West Ham,2,2,4,7,6,4,2,7,5,9,3,10,3,6,5,7,5,7
Wigan,6,2,3,2,5,5,5,6,3,11,4,6,5,12,3,2,3,13
