,Manager,Wins,Losses,Goals Conceeded,Goals scored
1,Interim Managers,1.0,2.0,9.0,7.0
2,Claudio Ranieri,16.0,9.0,36.0,61.0
3,Claudio Ranieri,17.0,8.0,38.0,66.0
4,Claudio Ranieri,19.0,9.0,38.0,68.0
5,Claudio Ranieri,22.0,6.0,27.0,63.0
6,José Mourinho,25.0,1.0,12.0,62.0
7,José Mourinho,29.0,5.0,22.0,72.0
8,José Mourinho,24.0,3.0,24.0,64.0
9,Interim Managers,3.0,2.0,8.0,7.0
10,Avram Grant,22.0,1.0,18.0,58.0
11,Luiz Felipe Scolari,14.0,4.0,15.0,44.0
12,Interim Managers,11.0,1.0,9.0,24.0
13,Carlo Ancelotti,27.0,6.0,32.0,103.0
14,Carlo Ancelotti,21.0,9.0,33.0,69.0
15,André Villas-Boas,13.0,7.0,32.0,47.0
16,Interim Managers,5.0,3.0,14.0,18.0
17,Interim Managers,7.0,2.0,13.0,24.0
18,Rafael Benítez,15.0,5.0,26.0,51.0
19,José Mourinho,25.0,6.0,27.0,71.0
20,José Mourinho,26.0,3.0,32.0,73.0
21,Interim Managers,4.0,9.0,27.0,19.0
22,Guus Hiddink,8.0,3.0,26.0,40.0
23,Antonio Conte,10.0,2.0,10.0,29.0
