,Year,Compsure_Attribute_Values,Composure Attributes
0,2006-2007,522,Total Shots
1,2007-2008,497,Total Shots
2,2008-2009,656,Total Shots
3,2009-2010,697,Total Shots
4,2010-2011,635,Total Shots
5,2011-2012,616,Total Shots
6,2012-2013,569,Total Shots
7,2013-2014,693,Total Shots
8,2014-2015,563,Total Shots
9,2015-2016,526,Total Shots
10,2016-2017,208,Total Shots
0,2006-2007,25,Home Shooting Accuracy
1,2007-2008,24,Home Shooting Accuracy
2,2008-2009,16,Home Shooting Accuracy
3,2009-2010,29,Home Shooting Accuracy
4,2010-2011,22,Home Shooting Accuracy
5,2011-2012,23,Home Shooting Accuracy
6,2012-2013,20,Home Shooting Accuracy
7,2013-2014,31,Home Shooting Accuracy
8,2014-2015,29,Home Shooting Accuracy
9,2015-2016,34,Home Shooting Accuracy
10,2016-2017,43,Home Shooting Accuracy
0,2006-2007,21,Away Shooting Accuracy
1,2007-2008,23,Away Shooting Accuracy
2,2008-2009,21,Away Shooting Accuracy
3,2009-2010,22,Away Shooting Accuracy
4,2010-2011,17,Away Shooting Accuracy
5,2011-2012,15,Away Shooting Accuracy
6,2012-2013,25,Away Shooting Accuracy
7,2013-2014,30,Away Shooting Accuracy
8,2014-2015,42,Away Shooting Accuracy
9,2015-2016,33,Away Shooting Accuracy
10,2016-2017,28,Away Shooting Accuracy
0,2006-2007,436,Fouls Commited
1,2007-2008,432,Fouls Commited
2,2008-2009,417,Fouls Commited
3,2009-2010,441,Fouls Commited
4,2010-2011,405,Fouls Commited
5,2011-2012,403,Fouls Commited
6,2012-2013,371,Fouls Commited
7,2013-2014,420,Fouls Commited
8,2014-2015,382,Fouls Commited
9,2015-2016,408,Fouls Commited
10,2016-2017,129,Fouls Commited
0,2006-2007,64,Being Stupid - Yellow carded
1,2007-2008,65,Being Stupid - Yellow carded
2,2008-2009,50,Being Stupid - Yellow carded
3,2009-2010,56,Being Stupid - Yellow carded
4,2010-2011,59,Being Stupid - Yellow carded
5,2011-2012,75,Being Stupid - Yellow carded
6,2012-2013,52,Being Stupid - Yellow carded
7,2013-2014,56,Being Stupid - Yellow carded
8,2014-2015,77,Being Stupid - Yellow carded
9,2015-2016,58,Being Stupid - Yellow carded
10,2016-2017,28,Being Stupid - Yellow carded
0,2006-2007,4,Dirty Fouls - Red Carded
1,2007-2008,6,Dirty Fouls - Red Carded
2,2008-2009,3,Dirty Fouls - Red Carded
3,2009-2010,5,Dirty Fouls - Red Carded
4,2010-2011,1,Dirty Fouls - Red Carded
5,2011-2012,4,Dirty Fouls - Red Carded
6,2012-2013,3,Dirty Fouls - Red Carded
7,2013-2014,3,Dirty Fouls - Red Carded
8,2014-2015,4,Dirty Fouls - Red Carded
9,2015-2016,6,Dirty Fouls - Red Carded
10,2016-2017,0,Dirty Fouls - Red Carded
0,2006-2007,230,Number of Set Pieces
1,2007-2008,254,Number of Set Pieces
2,2008-2009,236,Number of Set Pieces
3,2009-2010,285,Number of Set Pieces
4,2010-2011,255,Number of Set Pieces
5,2011-2012,254,Number of Set Pieces
6,2012-2013,240,Number of Set Pieces
7,2013-2014,249,Number of Set Pieces
8,2014-2015,226,Number of Set Pieces
9,2015-2016,240,Number of Set Pieces
10,2016-2017,72,Number of Set Pieces
