,0-10,0-10,20-Nov,20-Nov,21-30,21-30,31-40,31-40,41-50,41-50,51-60,51-60,61-70,61-70,71-80,71-80,81-90,81-90
,F,A,F,A,F,A,F,A,F,A,F,A,F,A,F,A,F,A
Arsenal,4,1,10,5,7,3,9,7,8,1,5,2,2,2,8,8,15,2
Aston Villa,4,6,5,4,3,8,2,4,5,8,5,5,6,5,6,5,6,10
Birmingham,4,5,3,9,2,2,5,2,1,8,1,3,2,10,5,7,5,4
Blackburn,3,5,7,3,1,2,8,4,7,8,6,2,6,11,7,4,6,3
Bolton,5,5,5,1,3,2,8,3,5,7,2,7,6,4,8,5,7,7
Charlton,1,3,3,9,5,6,5,9,8,5,2,8,5,7,5,4,7,4
Chelsea,3,3,4,3,11,2,4,2,9,6,11,2,11,1,14,2,5,1
Everton,6,2,5,7,4,3,4,3,5,12,4,3,1,6,0,7,5,6
Fulham,6,5,5,8,9,7,3,5,6,5,7,5,2,4,2,7,8,12
Liverpool,4,1,6,1,5,3,6,2,7,5,7,2,5,3,6,2,11,6
Manchester City,6,5,5,2,3,4,7,7,1,8,3,7,8,3,4,5,6,7
Manchester United,8,5,10,1,4,4,9,7,10,2,5,4,10,1,6,6,10,4
Middlesbrough,3,5,6,4,4,8,3,2,9,6,5,5,8,9,5,7,5,12
Newcastle,3,3,1,7,7,1,9,8,4,6,2,2,9,3,6,6,6,6
Portsmouth,3,7,3,4,3,4,1,10,6,4,6,7,6,10,4,6,5,10
Sunderland,4,6,3,4,1,6,5,10,2,9,3,6,1,8,3,8,4,12
Tottenham Hotspur,3,6,4,2,2,7,6,3,10,3,5,4,10,4,7,3,6,6
West Bromwich Albion,3,5,3,4,3,3,2,7,3,10,6,4,3,6,4,9,4,10
West Ham,4,2,5,10,5,6,2,3,9,10,5,10,7,5,8,4,7,5
Wigan,8,5,0,5,4,5,5,5,11,3,5,7,5,11,2,5,5,6
