,0-10,,20-Nov,,21-30,,31-40,,41-50,,51-60,,61-70,,71-80,,81-90,
,F,A,F,A,F,A,F,A,F,A,F,A,F,A,F,A,F,A
Arsenal,7,3,5,4,7,5,6,1,8,5,7,3,5,1,13,5,16,4
Aston Villa,1,5,7,5,8,4,3,6,8,5,15,3,5,8,10,3,14,12
Birmingham,5,5,2,6,5,4,7,6,2,6,5,12,8,4,3,8,9,11
Blackburn,0,3,6,5,5,6,2,6,7,4,9,4,6,3,7,4,8,13
Bolton,1,3,4,10,1,6,7,4,8,3,3,8,2,6,3,4,7,10
Chelsea,5,1,9,4,5,1,4,1,9,4,9,3,9,2,9,3,6,7
Derby,4,4,2,5,1,10,2,8,1,10,2,12,2,14,4,12,2,14
Everton,5,1,4,2,5,2,5,1,4,6,7,5,7,3,8,5,10,8
Fulham,5,5,4,5,4,4,1,2,2,5,3,12,3,8,9,7,7,12
Liverpool,3,2,10,1,5,1,2,3,8,3,8,4,9,4,7,5,15,5
Manchester City,4,3,6,5,5,6,6,8,6,4,3,7,4,3,5,6,6,11
Manchester United,6,1,7,2,6,5,8,2,10,4,12,2,3,0,11,3,17,3
Middlesbrough,4,8,7,1,4,5,8,3,0,6,6,8,3,6,4,7,7,9
Newcastle,4,6,3,1,5,7,1,6,10,8,7,10,2,6,5,7,8,14
Portsmouth,7,6,3,9,4,0,7,5,3,3,6,3,6,1,2,7,10,6
Reading,1,5,3,6,2,6,1,6,4,10,7,6,7,5,4,8,12,14
Sunderland,3,6,2,7,3,4,2,2,7,5,3,5,1,9,3,10,12,11
Tottenham Hotspur,8,3,7,6,7,3,4,4,6,7,3,11,8,8,9,9,14,10
West Ham,6,7,4,11,3,5,2,1,5,6,5,4,5,5,3,3,9,8
Wigan,1,3,6,6,3,4,2,5,2,6,6,4,6,5,4,7,4,11
